Match Date,Player 1 Name,Player 2 Name,Score,Winning player name,Player 1 Ranking,Player 2 Ranking,Player 1 Aces,Player 2 Aces,Player 1 Double Faults,Player 2 Double Faults,Player 1 1st Serve Percentage,Player 2 1st Serve Percentage,Player 1 1st Serve Points Won,Player 2 1st Serve Points Won,Player 1 2nd Serve Points Won,Player 2 2nd Serve Points Won,Player 1 Break Points Saved,Player 2 Break Points Saved,Player 1 Return,Player 2 Return,Player 1 1st Return Points Won,Player 2 1st Return Points Won,Player 1 2nd Return Points Won,Player 2 2nd Return Points Won,Player 1 Break Points Converted,Player 2 Break Points Converted,Player 1 Winners,Player 2 Winners,Player 1 Unforced Errors,Player 2 Unforced Errors,Player 1 Net Points Won,Player 2 Net Points Won,Player 1 Max Points in Row,Player 2 Max Points in Row,Player 1 Service Points Won,Player 2 Service Points Won,Player 1 Return Points Won,Player 2 Return Points Won,Player 1 Total Points Won,Player 2 Total Points Won,Player 1 Max Games in Row,Player 2 Max Games in Row,Player 1 Service Games Won,Player 2 Service Games Won,Player 1 Return Games Won,Player 2 Return Games Won,Player 1 Total Games Won,Player 2 Total Games Won,Player 1 Distance Covered,Player 2 Distance Covered
06-10-2008,P. Kohlschreiber,F. Verdasco,(6-2)(6-3),P. Kohlschreiber,,,0.0%,1.9%,0.0%,0.0%,60.5%,79.2%,73.1%,57.1%,82.4%,54.5%,,42.9%,,,42.9%,26.9%,45.5%,17.6%,,,,,,,,,,,76.7%,56.6%,43.4%,23.3%,58.3%,41.7%,,,100.0%,55.6%,44.4%,0.0%,70.6%,29.4%,,
06-10-2008,E. Schwank,G. Simon,(4-6)(7-5)(7-6),E. Schwank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,F. Lopez,S. Giraldo,(7-6)(6-3),F. Lopez,,,7.0%,3.8%,7.0%,0.0%,49.3%,60.3%,85.7%,63.8%,58.3%,58.1%,100.0%,66.7%,,,36.2%,14.3%,41.9%,41.7%,,,,,,,,,,,71.8%,61.5%,38.5%,28.2%,54.4%,45.6%,,,100.0%,90.0%,10.0%,0.0%,57.1%,42.9%,,
06-10-2008,G. Monfils,F. Gonzalez,(6-3)(7-6),G. Monfils,,,7.6%,3.2%,2.5%,0.0%,62.0%,61.3%,77.6%,57.9%,53.3%,66.7%,87.5%,50.0%,,,42.1%,22.4%,33.3%,46.7%,,,,,,,,,,,68.4%,61.3%,38.7%,31.6%,55.3%,44.7%,,,90.9%,80.0%,20.0%,9.1%,57.1%,42.9%,,
06-10-2008,J. C. Ferrero,I. Karlovic,(6-4)(7-6),J. C. Ferrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,F. Verdasco,G. Canas,(6-1)(6-2),F. Verdasco,,,5.6%,9.8%,5.6%,4.9%,77.8%,51.2%,64.3%,61.9%,66.7%,25.0%,80.0%,37.5%,,,38.1%,35.7%,75.0%,33.3%,,,,,,,,,,,64.8%,43.9%,56.1%,35.2%,61.1%,38.9%,,,87.5%,28.6%,71.4%,12.5%,80.0%,20.0%,,
06-10-2008,J. Melzer,I. Ljubicic,(7-6)(6-3),J. Melzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,P. Kohlschreiber,J. M. Del Potro,,P. Kohlschreiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,F. Lopez,A. Calleri,(7-6)(7-6),F. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,G. Monfils,R. Stepanek,(6-4)(6-3),G. Monfils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,S. Giraldo,S. Koubek,(6-1)(6-2),S. Giraldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,F. Gonzalez,E. Gulbis,(4-6)(7-6)(6-1),F. Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,F. Verdasco,V. Crivoi,(6-4)(6-4),F. Verdasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,G. Canas,A. Seppi,(7-6)(6-3),G. Canas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,P. Kohlschreiber,M. Gicquel,(6-2)(6-2),P. Kohlschreiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,J. M. Del Potro,M. Fischer,(7-6)(7-6),J. M. Del Potro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,G. Monfils,A. Peya,(3-6)(6-1)(6-3),G. Monfils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,R. Stepanek,P. Snobel,(6-4)(6-2),R. Stepanek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,E. Gulbis,F. Volandri,(6-2)(6-3),E. Gulbis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
